vote_id,election_id,candidate_id,cast_at,vote_status
VT001,E001,C004,2026-08-27T10:07:00,COUNTED
VT002,E001,C002,2026-08-27T11:14:00,COUNTED
VT003,E001,C005,2026-08-27T12:21:00,COUNTED
VT004,E001,C003,2026-08-27T13:28:00,COUNTED
VT005,E001,C001,2026-08-27T14:35:00,COUNTED
VT006,E001,C004,2026-08-27T15:42:00,COUNTED
VT007,E001,C002,2026-08-27T16:49:00,COUNTED
VT008,E001,C005,2026-08-27T17:56:00,COUNTED
VT009,E001,C003,2026-08-27T09:03:00,COUNTED
VT010,E001,C001,2026-08-27T10:10:00,COUNTED
VT011,E001,C004,2026-08-27T11:17:00,COUNTED
VT012,E001,C002,2026-08-27T12:24:00,COUNTED
VT013,E001,C005,2026-08-27T13:31:00,COUNTED
VT014,E001,C003,2026-08-27T14:38:00,COUNTED
VT015,E001,C001,2026-08-27T15:45:00,COUNTED
VT016,E001,C004,2026-08-27T16:52:00,COUNTED
VT017,E001,C002,2026-08-27T17:59:00,COUNTED
VT018,E001,C005,2026-08-27T09:06:00,COUNTED
VT019,E001,C003,2026-08-27T10:13:00,COUNTED
VT020,E001,C001,2026-08-27T11:20:00,COUNTED
VT021,E001,C004,2026-08-27T12:27:00,COUNTED
VT022,E001,C002,2026-08-27T13:34:00,COUNTED
VT023,E001,C005,2026-08-27T14:41:00,COUNTED
VT024,E001,C003,2026-08-27T15:48:00,COUNTED
VT025,E001,C001,2026-08-27T16:55:00,COUNTED
VT026,E001,C004,2026-08-27T17:02:00,COUNTED
VT027,E001,C002,2026-08-27T09:09:00,COUNTED
VT028,E001,C005,2026-08-27T10:16:00,COUNTED
VT029,E001,C003,2026-08-27T11:23:00,COUNTED
VT030,E001,C001,2026-08-27T12:30:00,COUNTED
